date,TSCO.LON,BARC.LON,ULVR.LON
2022-12-30,224.2,158.52,4182.0
2022-12-29,224.3,159.34,4202.0
2022-12-28,223.5,158.88,4205.5
2022-12-23,226.7,157.74,4214.0
2022-12-22,226.1,157.14,4213.0
2022-12-21,226.9,158.08,4225.0
2022-12-20,224.4,155.74,4156.5
2022-12-19,223.7,155.38,4173.5
2022-12-16,222.3,154.42,4141.0
2022-12-15,223.5,155.2,4137.0
2022-12-14,225.7,160.26,4150.5
2022-12-13,226.5,161.78,4105.5
2022-12-12,226.8,158.14,4122.0
2022-12-09,227.9,159.48,4125.5
2022-12-08,230.9,156.8,4161.0
2022-12-07,228.3,157.44,4161.0
2022-12-06,229.0,158.76,4186.0
2022-12-05,230.1,156.28,4179.0
2022-12-02,228.5,156.82,4178.0
2022-12-01,228.7,158.28,4179.5
2022-11-30,227.5,161.24,4144.0
2022-11-29,233.0,161.0,4124.5
2022-11-28,232.6,158.18,4155.0
2022-11-25,235.0,159.06,4113.5
2022-11-24,237.6,159.42,4120.0
2022-11-23,236.1,158.28,4110.5
2022-11-22,235.0,157.92,4116.5
2022-11-21,232.0,157.94,4112.5
2022-11-18,231.3,158.22,4040.5
2022-11-17,226.5,156.66,4058.0
2022-11-16,225.9,154.4,4064.5
2022-11-15,227.4,157.22,4033.5
2022-11-14,230.4,157.62,4032.5
2022-11-11,228.2,158.22,3939.5
2022-11-10,227.9,157.0,4043.0
2022-11-09,228.3,154.4,4070.0
2022-11-08,230.3,154.18,4056.5
2022-11-07,227.7,152.6,4032.0
2022-11-04,223.2,153.52,4053.5
2022-11-03,223.0,149.52,3995.5
2022-11-02,216.8,150.1,3949.0
2022-11-01,217.8,150.34,3947.5
2022-10-31,215.1,147.76,3974.5
2022-10-28,212.7,146.44,3918.0
2022-10-27,212.8,150.26,3865.0
2022-10-26,212.2,149.82,3869.0
2022-10-25,211.0,150.22,3926.5
2022-10-24,210.8,148.94,3921.5
2022-10-21,209.2,145.04,3943.5
2022-10-20,207.4,145.34,3909.5
2022-10-19,205.0,144.3,3899.5
2022-10-18,204.6,147.5,3893.5
2022-10-17,205.7,145.4,3858.5
